source,target,weight
Manda,Armed Assault,1
Mandai,Armed Assault,1
Mandipore,Assassination,1
Mangaldai,Armed Assault,1
Manikonta,Armed Assault,1
Manipore,Assassination,1
Manipur,Armed Assault,2
Maniwaz-Kakipora,Armed Assault,1
Manja,Hostage Taking (Kidnapping),1
Manjakot,Armed Assault,1
Manjapu,Bombing/Explosion,1
Manu,Unknown,1
Maphou,Hostage Taking (Kidnapping),1
Margao,Bombing/Explosion,1
Marrdmalli,Bombing/Explosion,1
Masiri,Bombing/Explosion,1
Matan,Bombing/Explosion,1
Matribugh,Armed Assault,1
Mattan,Assassination,1
Matu,Facility/Infrastructure Attack,1
Mayurbhanj,Armed Assault,3
Mayurbhanj,Bombing/Explosion,1
Mayurbhanj,Facility/Infrastructure Attack,1
Mazhama,Bombing/Explosion,1
Medinipur,Armed Assault,1
Medinipur,Assassination,1
Medinipur,Facility/Infrastructure Attack,3
Midnapore,Armed Assault,31
Midnapore,Assassination,2
Midnapore,Bombing/Explosion,4
Midnapore,Facility/Infrastructure Attack,10
Midnapore,Hijacking,1
Midnapore,Hostage Taking (Kidnapping),15
Midnapore,Unknown,3
Mirhama,Bombing/Explosion,1
Mirjapur,Hostage Taking (Kidnapping),1
Modasa,Bombing/Explosion,1
Mohmangad,Armed Assault,1
Mohorcherra,Armed Assault,1
Moirangpural,Armed Assault,1
Mola,Unknown,1
More Bachia,Hostage Taking (Kidnapping),1
Moreh,Armed Assault,2
Moreh,Bombing/Explosion,1
Moreh,Facility/Infrastructure Attack,1
Motihari,Bombing/Explosion,1
Motu,Facility/Infrastructure Attack,1
Mukinda,Bombing/Explosion,1
Muktapur,Armed Assault,1
Mumbai,Armed Assault,3
Mumbai,Bombing/Explosion,11
Mumbai,Facility/Infrastructure Attack,1
Mumbai,Hijacking,1
Mumbai,Hostage Taking (Kidnapping),1
Mumbai,Unarmed Assault,1
Munger,Armed Assault,3
Munger,Bombing/Explosion,3
Munger,Facility/Infrastructure Attack,3
Munger Division,Armed Assault,1
Mupa,Facility/Infrastructure Attack,1
Murkongselek,Bombing/Explosion,1
Murshidabad,Bombing/Explosion,3
Muzaffarabad,Bombing/Explosion,1
Muzaffarnagar,Bombing/Explosion,1
Muzaffarpur,Assassination,1
Muzaffarpur,Bombing/Explosion,2
Nachala,Bombing/Explosion,1
Nadda,Bombing/Explosion,1
Nadi Marg,Armed Assault,1
Nadia,Unarmed Assault,1
Nagaon,Armed Assault,1
Nagaon,Bombing/Explosion,3
Nagma,Bombing/Explosion,1
Nagpur,Armed Assault,1
Nagshereen,Assassination,1
Naholia,Armed Assault,1
Nalbari,Armed Assault,2
Nalbari,Bombing/Explosion,2
Nalbari,Hostage Taking (Kidnapping),1
